Country,Songs,Listeners,Code
Afghanistan,Breezeblocks,981762,AFG
Albania,Home,999847,ALB
Algeria,Let Her Go,951515,DZA
Andorra,Porcelain,989124,AND
Angola,Wake Me Up,996201,AGO
Anguilla,The Hills,929212,AIA
Argentina,Mil Horas,99729,ARG
Armenia,Porcelain,989124,ARM
Aruba,Porcelain,989124,ABW
Australia,Feels Like We Only Go Backwards,931673,AUS
Austria,Lonely Boy,984029,AUT
Azerbaijan,Angel,994858,AZE
Bahrain,Breezeblocks,981762,BHR
Bangladesh,Let Her Go,951515,BGD
Barbados,Only Girl (In the World),960479,BRB
Belarus,Stressed Out,837000,BLR
Belgium,Brown Eyed Girl,983030,BEL
Belize,Lonely Boy,984029,BLZ
Benin,You're Beautiful,996615,BEN
Bermuda,Wake Me Up,996201,BMU
Bhutan,Torn,993275,BTN
Bolivia,Crimen,99601,BOL
Bosnia and Herzegovina,Angel,994858,BIH
Botswana,Bleeding Love,993755,BWA
Brazil,Lonely Boy,984029,BRA
Bulgaria,Lonely Boy,984029,BGR
Burundi,Eleanor Rigby,963871,BDI
Cambodia,Islands,998468,KHM
Cameroon,Linger,958927,CMR
Canada,The Hills,929212,CAN
Cayman Islands,Home,999847,CYM
Chad,Islands,998468,TCD
Chile,Close to Me,939081,CHL
China,Let Her Go,951515,CHN
Colombia,Safe and Sound,898489,COL
Costa Rica,Linger,958927,CRI
Croatia,Angel,994858,HRV
Cuba,Whole Lotta Love,947019,CUB
Cyprus,Roads,945234,CYP
Czech Republic,The Passenger,949578,CZE
Denmark,Last Christmas,949686,DNK
Djibouti,Feels Like We Only Go Backwards,931673,DJI
Dominica,Wake Me Up,996201,DMA
Ecuador,Can't Feel My Face,859579,ECU
Egypt,The Great Gig in the Sky,923368,EGY
El Salvador,Can't Feel My Face,859579,SLV
Estonia,The Hills,929212,EST
Ethiopia,Torn,993275,ETH
Fiji,Cry Me a River,953934,FJI
Finland,(Don't Fear) The Reaper,943280,FIN
France,Breezeblocks,981762,FRA
Gabon,Breezeblocks,981762,GAB
Georgia,Angel,994858,GEO
Germany,The Passenger,949578,DEU
Ghana,You're Beautiful,996615,GHA
Gibraltar,Brown Eyed Girl,983030,GIB
Greece,Angel,994858,GRC
Greenland,As,96266,GRL
Grenada,The Hills,929212,GRD
Guam,The Hills,929212,GUM
Guatemala,Can't Feel My Face,859579,GTM
Guernsey,Last Christmas,949686,GGY
Haiti,Let Her Go,951515,HTI
Honduras,The Hills,929212,HND
Hong Kong,Let Her Go,951515,HKG
Hungary,Lonely Boy,984029,HUN
Iceland,Breezeblocks,981762,ISL
India,Let Her Go,951515,IND
Indonesia,Linger,958927,IDN
Iraq,Chandelier,876462,IRQ
Ireland,Brown Eyed Girl,983030,IRL
Israel,Breezeblocks,981762,ISR
Italy,Lonely Boy,984029,ITA
Jamaica,Cry Me a River,953934,JAM
Japan,真夏の通り雨,9939,JPN
Jersey,Last Christmas,949686,JEY
Jordan,The Unforgiven,945337,JOR
Kazakhstan,Stressed Out,837000,KAZ
Kenya,Wake Me Up,996201,KEN
Kuwait,...Baby One More Time,956871,KWT
Kyrgyzstan,Группа крови,99833,KGZ
Latvia,Stressed Out,837000,LVA
Lebanon,Islands,998468,LBN
Lithuania,Bohemian Rhapsody - Remastered 2011,716647,LTU
Luxembourg,Walk on the Wild Side,910542,LUX
Madagascar,Torn,993275,MDG
Malaysia,Let Her Go,951515,MYS
Maldives,Jeremy,955142,MDV
Mali,Single Ladies (Put a Ring on It),985321,MLI
Mauritius,Chandelier,876462,MUS
Mexico,Can't Feel My Face,859579,MEX
Monaco,Let Her Go,951515,MCO
Mongolia,Torn,993275,MNG
Montenegro,Angel,994858,MNE
Morocco,Lonely Boy,984029,MAR
Namibia,Mr. Jones,911362,NAM
Nepal,One,964565,NPL
Netherlands,Brown Eyed Girl,983030,NLD
New Zealand,Redbone,883805,NZL
Nigeria,The Hills,929212,NGA
Norway,Last Christmas,949686,NOR
Oman,Breezeblocks,981762,OMN
Pakistan,The Hills,929212,PAK
Panama,The Hills,929212,PAN
Peru,Close to Me,939081,PER
Philippines,Torn,993275,PHL
Poland,Last Christmas,949686,POL
Portugal,Lonely Boy,984029,PRT
Puerto Rico,Santeria,992921,PRI
Qatar,Lonely Boy,984029,QAT
Russian Federation,I Want to Break Free,849811,RUS
Saudi Arabia,Let Her Go,951515,SAU
Serbia,Angel,994858,SRB
Seychelles,Santeria,992921,SYC
Singapore,Let Her Go,951515,SGP
Slovakia,Breezeblocks,981762,SVK
South Africa,Lonely Boy,984029,ZAF
Spain,Lonely Boy,984029,ESP
Sri Lanka,Wake Me Up,996201,LKA
Swaziland,She Wolf,9582,SWZ
Sweden,Home,999847,SWE
Switzerland,Home,999847,CHE
Taiwan,Let Her Go,951515,TWN
Tajikistan,Blue Jeans,972193,TJK
Thailand,Let Her Go,951515,THA
Togo,The Hills,929212,TGO
Tunisia,Angel,994858,TUN
Turkey,Angel,994858,TUR
Turkmenistan,Wake Me Up,996201,TKM
Uganda,Torn,993275,UGA
Ukraine,Angel,994858,UKR
United Arab Emirates,The Hills,929212,ARE
United Kingdom,Last Christmas,949686,GBR
United States,Santeria,992921,USA
Uruguay,The Passenger,949578,URY
Uzbekistan,Bleed It Out,938567,UZB
Vanuatu,Breezeblocks,981762,VUT
Venezuela,The Hills,929212,VEN
Yemen,...Baby One More Time,956871,YEM
Zambia,Cry Me a River,953934,ZMB
Zimbabwe,Team,956905,ZWE
